  id type  new_id old_info                              img_name                                              img_cksum   img_size seg_name                                                                    seg_cksum   seg_size
   1 mut   625 A2_MHV_AxA_0001_Ceta_1553_1924           raw/mutant/A2_MHV_AxA_0001_Ceta_1553_1924.png         327090119    1170896 raw/mutant_seg/A2_MHV_AxA_0001_Ceta_1553_1924-muimage1_corrected.png       2933085097       3327
   2 mut   758 A2_MHV_AxA_0001_Ceta_1941_1140           raw/mutant/A2_MHV_AxA_0001_Ceta_1941_1140.png        3214739861    1189768 raw/mutant_seg/A2_MHV_AxA_0001_Ceta_1941_1140-muimage2_corrected.png       2049507751       3769
   3 mut   608 A2_MHV_AxA_0001_Ceta_208_411             raw/mutant/A2_MHV_AxA_0001_Ceta_208_411.png          1734621552    1192220 None                                                                                0          0
   4 mut   699 A2_MHV_AxA_0001_Ceta_2140_1077           raw/mutant/A2_MHV_AxA_0001_Ceta_2140_1077.png        3469446102    1191067 raw/mutant_seg/A2_MHV_AxA_0001_Ceta_2140_1077-muimage4_corrected.png       4279235157       3753
   5 mut    61 A2_MHV_AxA_0001_Ceta_3147_589            raw/mutant/A2_MHV_AxA_0001_Ceta_3147_589.png         4020587814    1210874 None                                                                                0          0
   6 mut   262 A2_MHV_AxA_0001_Ceta_520_2956            raw/mutant/A2_MHV_AxA_0001_Ceta_520_2956.png         1378955649    1180272 raw/mutant_seg/A2_MHV_AxA_0001_Ceta_520_2956-muimage6_corrected.png        2303384554       4561
   7 mut   594 A2_MHV_AxA_0002_Ceta_1721_2872           raw/mutant/A2_MHV_AxA_0002_Ceta_1721_2872.png        4162100638    1196590 raw/mutant_seg/A2_MHV_AxA_0002_Ceta_1721_2872-muimage7_corrected.png       4283262182       3753
   8 mut   591 A2_MHV_AxA_0002_Ceta_2065_345            raw/mutant/A2_MHV_AxA_0002_Ceta_2065_345.png         1378038733    1192356 raw/mutant_seg/A2_MHV_AxA_0002_Ceta_2065_345-muimage8_corrected.png         560784223       4020
   9 mut   194 A2_MHV_AxA_0002_Ceta_2677_3706           raw/mutant/A2_MHV_AxA_0002_Ceta_2677_3706.png        1961235944    1089872 raw/mutant_seg/A2_MHV_AxA_0002_Ceta_2677_3706-muimage9_corrected.png       1303210509       3204
  10 mut   382 A2_MHV_AxA_0002_Ceta_3031_497            raw/mutant/A2_MHV_AxA_0002_Ceta_3031_497.png         1166339485    1200476 raw/mutant_seg/A2_MHV_AxA_0002_Ceta_3031_497-muimage10_corrected.png       1330653032       3864
  11 mut   567 A2_MHV_AxA_0002_Ceta_84_1614             raw/mutant/A2_MHV_AxA_0002_Ceta_84_1614.png          1336975833    1179698 raw/mutant_seg/A2_MHV_AxA_0002_Ceta_84_1614-muimage11_corrected.png        3638052500       3569
  12 mut   499 A2_MHV_AxA_0003_Ceta_118_2616            raw/mutant/A2_MHV_AxA_0003_Ceta_118_2616.png         3238707899    1150190 raw/mutant_seg/A2_MHV_AxA_0003_Ceta_118_2616-muimage12_corrected.png       2075360662       3801
  13 mut   330 A2_MHV_AxA_0003_Ceta_1488_963            raw/mutant/A2_MHV_AxA_0003_Ceta_1488_963.png         2602976484    1165597 raw/mutant_seg/A2_MHV_AxA_0003_Ceta_1488_963-muimage13_corrected.png       3860350439       2761
  14 mut    41 A2_MHV_AxA_0003_Ceta_2054_3647           raw/mutant/A2_MHV_AxA_0003_Ceta_2054_3647.png        1696266871    1145714 raw/mutant_seg/A2_MHV_AxA_0003_Ceta_2054_3647-muimage14_corrected.png       278782309       2623
  15 mut    55 A2_MHV_AxA_0003_Ceta_2176_321            raw/mutant/A2_MHV_AxA_0003_Ceta_2176_321.png          261568776    1167333 raw/mutant_seg/A2_MHV_AxA_0003_Ceta_2176_321-muimage15_corrected.png        536932557       3151
  16 mut   176 A2_MHV_AxA_0003_Ceta_2509_3060           raw/mutant/A2_MHV_AxA_0003_Ceta_2509_3060.png        1869229416    1172571 raw/mutant_seg/A2_MHV_AxA_0003_Ceta_2509_3060-muimage16_corrected.png      1151065813       3615
  17 mut   164 A2_MHV_AxA_0003_Ceta_3242_1933           raw/mutant/A2_MHV_AxA_0003_Ceta_3242_1933.png         299097422    1167002 raw/mutant_seg/A2_MHV_AxA_0003_Ceta_3242_1933-muimage17_corrected.png      1869257004       3581
  18 mut   528 A2_MHV_AxA_0003_Ceta_3272_1549           raw/mutant/A2_MHV_AxA_0003_Ceta_3272_1549.png        2787322948    1166686 raw/mutant_seg/A2_MHV_AxA_0003_Ceta_3272_1549-muimage18_corrected.png      1584948078       4024
